image,mask,non_expert_mask,test_img,test_mask
train_png\micro_01_img_slice_0,train_png\micro_01_gt_slice_0,train_png\micro_01_st_slice_0,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_1,train_png\micro_01_st_slice_1,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_10,train_png\micro_01_st_slice_10,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_11,train_png\micro_01_st_slice_11,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_12,train_png\micro_01_st_slice_12,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_13,train_png\micro_01_st_slice_13,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_14,train_png\micro_01_st_slice_14,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_15,train_png\micro_01_st_slice_15,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_16,train_png\micro_01_st_slice_16,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_17,train_png\micro_01_st_slice_17,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_18,train_png\micro_01_st_slice_18,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_1,train_png\micro_01_gt_slice_19,train_png\micro_01_st_slice_19,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_2,train_png\micro_01_st_slice_2,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_20,train_png\micro_01_st_slice_20,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_21,train_png\micro_01_st_slice_21,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_22,train_png\micro_01_st_slice_22,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_23,train_png\micro_01_st_slice_23,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_24,train_png\micro_01_st_slice_24,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_25,train_png\micro_01_st_slice_25,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
train_png\micro_01_img_slice_2,train_png\micro_01_gt_slice_26,train_png\micro_01_st_slice_26,micro_ultrasound_scans\microUS,expert_annotations\expert_anno
